single_q,double_q,dashes,braces,spaces,percentages,semicolons,angle_brackets,special_chars,path_length,body_length,badwords_count,Cluster
0,0,0,0,0,0,0,0,0,8,33,1,1
0,0,0,0,7,0,0,0,0,13,124,0,0
0,0,0,0,0,0,0,0,0,18,0,1,1
0,0,0,0,3,0,0,0,0,57,0,0,1
0,0,0,0,3,0,0,0,0,82,0,0,1
0,0,0,0,3,0,0,0,0,74,0,0,1
0,0,0,0,3,0,0,0,0,83,0,0,1
0,0,0,0,3,0,0,0,0,80,0,0,1
0,0,0,0,3,0,0,0,0,80,0,0,1
0,0,0,0,3,0,0,0,0,86,0,0,1
0,0,0,0,3,0,0,0,0,80,0,0,1
0,0,0,0,3,0,0,0,0,74,0,0,1
0,0,0,0,3,0,0,0,0,82,0,0,1
0,0,0,0,3,0,0,0,0,82,0,0,1
0,0,0,0,3,0,0,0,0,80,0,0,1
0,0,0,0,3,0,0,0,0,84,0,0,1
0,0,0,0,3,0,0,0,0,85,0,0,1
0,0,0,0,3,0,0,0,0,80,0,0,1
0,0,0,0,3,0,0,0,0,72,0,0,1
0,0,0,0,3,0,0,0,0,78,0,0,1
0,0,0,0,3,0,0,0,0,80,0,0,1
0,0,0,0,3,0,0,0,0,81,0,0,1
0,0,0,0,3,0,0,0,0,51,0,0,1
0,0,0,0,3,0,0,0,0,78,0,0,1
0,0,0,0,3,0,0,0,0,80,0,0,1
0,0,0,0,3,0,0,0,0,57,0,0,1
0,0,0,0,0,0,0,0,0,26,0,1,1
0,0,0,0,1,0,0,0,0,37,0,0,1
0,0,0,0,1,0,0,0,0,46,0,0,1
0,0,0,0,3,0,0,0,0,67,0,0,1
0,0,0,0,0,0,0,0,0,12,50,1,1
0,0,0,0,7,0,0,0,0,13,133,1,0
0,0,0,0,0,0,0,0,0,8,51,2,1
0,0,0,0,0,0,0,0,0,20,0,0,1
0,0,0,0,7,0,0,0,0,13,178,1,0
0,0,0,0,0,0,0,0,0,6,0,1,1
0,0,0,0,0,0,0,0,0,60,0,1,1
0,0,0,0,0,0,0,0,0,56,0,1,1
0,0,0,0,0,0,0,0,0,8,96,2,0
0,0,0,0,0,0,0,0,0,12,95,1,0
0,0,0,0,7,0,0,0,0,13,133,1,0
0,0,0,0,0,0,0,0,0,105,0,1,1
0,0,0,0,0,0,0,0,0,101,0,1,1
0,0,0,0,0,0,0,0,0,42,0,1,1
0,0,0,0,0,0,0,0,0,41,0,1,1
0,0,0,0,7,0,0,0,0,13,178,1,0
0,0,0,0,0,0,0,0,0,60,0,1,1
0,0,0,0,0,0,0,0,0,8,51,2,1
0,0,0,0,0,0,0,0,0,12,50,1,1
0,0,0,0,0,0,0,0,0,56,0,1,1
0,0,0,0,0,0,0,0,0,86,0,1,1
0,0,0,0,0,0,0,0,0,87,0,1,1
0,0,0,0,7,0,0,0,0,13,123,0,0
0,0,0,0,0,0,0,0,0,47,0,1,1
0,0,0,0,0,0,0,0,0,105,0,1,1
0,0,0,0,0,0,0,0,0,42,0,1,1
0,0,0,0,0,0,0,0,0,101,0,1,1
0,0,0,0,7,0,0,0,0,13,170,0,0
0,0,0,0,0,0,0,0,0,41,0,1,1
0,0,0,0,0,0,0,0,0,92,0,1,1
0,0,0,0,1,0,0,0,0,13,0,0,1
0,0,0,0,0,0,0,0,0,40,0,1,1
0,0,0,0,0,0,0,0,0,50,0,0,1
0,0,0,0,0,0,0,0,0,82,0,1,1
0,0,0,0,0,0,0,0,0,8,96,2,0
0,0,0,0,0,0,0,0,0,12,95,1,0
0,0,0,0,7,0,0,0,0,13,115,0,0
0,0,0,0,1,0,0,0,0,23,0,0,1
0,0,0,0,7,0,0,0,0,13,113,0,0
0,0,0,0,3,0,0,0,0,43,0,0,1
0,0,0,0,0,0,0,0,0,8,41,1,1
