method,path,body,single_q,double_q,dashes,braces,spaces,badwords_count,class
GET,b'/',b'',0,0,0,0,0,0,bad
GET,b'/robots.txt',b'',0,0,0,0,0,0,bad
GET,b'/sitemap.xml',b'',0,0,0,0,0,0,bad
GET,b'/index.jsp',b'',0,0,0,0,0,0,bad
GET,b'/index.jsp?content=personal.htm',b'',0,0,0,0,0,0,bad
GET,b'/index.jsp?content=personal_checking.htm',b'',0,0,0,0,0,0,bad
GET,b'/login.jsp',b'',0,0,0,0,0,0,bad
GET,b'/index.jsp?content=business.htm',b'',0,0,0,0,0,0,bad
GET,b'/feedback.jsp',b'',0,0,0,0,0,0,bad
GET,b'/index.jsp?content=personal_deposit.htm',b'',0,0,0,0,0,0,bad
GET,b'/index.jsp?content=personal_cards.htm',b'',0,0,0,0,0,0,bad
GET,b'/index.jsp?content=personal_investments.htm',b'',0,0,0,0,0,0,bad
GET,b'/index.jsp?content=inside.htm',b'',0,0,0,0,0,0,bad
GET,b'/index.jsp?content=inside_contact.htm',b'',0,0,0,0,0,0,bad
GET,b'/index.jsp?content=personal_loans.htm',b'',0,0,0,0,0,0,bad
GET,b'/index.jsp?content=personal_other.htm',b'',0,0,0,0,0,0,bad
GET,b'/index.jsp?content=business_deposit.htm',b'',0,0,0,0,0,0,bad
GET,b'/index.jsp?content=business_lending.htm',b'',0,0,0,0,0,0,bad
GET,b'/index.jsp?content=business_cards.htm',b'',0,0,0,0,0,0,bad
GET,b'/index.jsp?content=business_other.htm',b'',0,0,0,0,0,0,bad
GET,b'/index.jsp?content=business_retirement.htm',b'',0,0,0,0,0,0,bad
GET,b'/index.jsp?content=inside_press.htm',b'',0,0,0,0,0,0,bad
GET,b'/cgi.exe',b'',0,0,0,0,0,0,bad
GET,b'/index.jsp?content=business_insurance.htm',b'',0,0,0,0,0,0,bad
GET,b'/index.jsp?content=inside_investor.htm',b'',0,0,0,0,0,0,bad
GET,b'/subscribe.jsp',b'',0,0,0,0,0,0,bad
GET,b'/index.jsp?content=inside_about.htm',b'',0,0,0,0,0,0,bad
GET,b'/index.jsp?content=inside_careers.htm',b'',0,0,0,0,0,0,bad
GET,b'/index.jsp?content=privacy.htm',b'',0,0,0,0,0,0,bad
GET,b'/status_check.jsp',b'',0,0,0,0,0,0,bad
GET,b'/swagger/index.html',b'',0,0,0,0,0,0,bad
GET,b'/index.jsp?content=security.htm',b'',0,0,0,0,0,0,bad
GET,b'/default.jsp?content=security.htm',b'',0,0,0,0,0,0,bad
GET,b'/index.jsp?content=personal_savings.htm',b'',0,0,0,0,0,0,bad
GET,b'/survey_questions.jsp',b'',0,0,0,0,0,0,bad
GET,b'/search.jsp?query=ZAP',b'',0,0,0,0,0,0,bad
GET,b'/disclaimer.htm?url=http://www.netscape.com',b'',0,0,0,0,0,0,bad
GET,b'/disclaimer.htm?url=http://www.microsoft.com',b'',0,0,0,0,0,0,bad
POST,b'/doLogin',b'uid=ZAP&passw=ZAP&btnSubmit=Login',0,0,0,0,0,1,bad
POST,b'/sendFeedback',b'cfile=comments.txt&name=ZAP&email_addr=ZAP&subject=Zaproxy+dolore+alias+impedit+expedita+quisquam.&comments=&submit=+Submit+',0,0,0,0,7,0,bad
GET,b'/index.jsp?content=inside_community.htm',b'',0,0,0,0,0,0,bad
GET,b'/subscribe.swf',b'',0,0,0,0,0,0,bad
GET,b'/sameDomain',b'',0,0,0,0,0,0,bad
GET,b'/pr/communityannualreport.pdf',b'',0,0,0,0,0,0,bad
GET,b'/high',b'',0,0,0,0,0,0,bad
GET,b'/admin/clients.xls',b'',0,0,0,0,0,0,bad
GET,b'/high_yield_investments.htm',b'',0,0,0,0,0,0,bad
GET,b'/retirement.htm',b'',0,0,0,0,0,0,bad
GET,b'/my%20documents/JohnSmith/Bank%20Site%20Documents/grouplife.htm',b'',0,0,0,0,3,0,bad
GET,b'/index.jsp?content=pr/20061109.htm',b'',0,0,0,0,0,0,bad
GET,b'/index.jsp?content=pr/20060928.htm',b'',0,0,0,0,0,0,bad
GET,b'/index.jsp?content=pr/20061005.htm',b'',0,0,0,0,0,0,bad
GET,b'/index.jsp?content=pr/20060720.htm',b'',0,0,0,0,0,0,bad
GET,b'/index.jsp?content=pr/20060413.htm',b'',0,0,0,0,0,0,bad
GET,b'/index.jsp?content=pr/20060518.htm',b'',0,0,0,0,0,0,bad
POST,b'/doSubscribe',b'txtEmail=ZAP&btnSubmit=Subscribe',0,0,0,0,0,0,bad
GET,b'/index.jsp?content=pr/20060817.htm',b'',0,0,0,0,0,0,bad
GET,b'/index.jsp?content=pr/20060921.htm',b'',0,0,0,0,0,0,bad
GET,b'/index.jsp?content=inside_jobs.htm',b'',0,0,0,0,0,0,bad
GET,b'/index.jsp?content=inside_benefits.htm',b'',0,0,0,0,0,0,bad
GET,b'/index.jsp?content=inside_internships.htm',b'',0,0,0,0,0,0,bad
GET,b'/index.jsp?content=inside_trainee.htm',b'',0,0,0,0,0,0,bad
GET,b'/Privacypolicy.jsp?sec=Careers&template=US',b'',0,0,0,0,0,0,bad
GET,b'/index.jsp?content=inside_executives.htm',b'',0,0,0,0,0,0,bad
GET,b'/inside_points_of_interest.htm',b'',0,0,0,0,0,0,bad
GET,b'/swagger/swagger-ui-bundle.js',b'',0,0,0,0,0,0,bad
GET,b'/static/personal_savings.htm',b'',0,0,0,0,0,0,bad
GET,b'/survey_questions.jsp?step=a',b'',0,0,0,0,0,0,bad
GET,b'/swagger/swagger-ui-standalone-preset.js',b'',0,0,0,0,0,0,bad
GET,b'/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=personal_deposit.htm',b'',0,0,0,0,3,0,bad
GET,b'/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=personal.htm',b'',0,0,0,0,3,0,bad
GET,b'/security.htm',b'',0,0,0,0,0,0,bad
GET,b'/index.jsp?content=inside_volunteering.htm',b'',0,0,0,0,0,0,bad
GET,b'/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=personal_checking.htm',b'',0,0,0,0,3,0,bad
GET,b'/default.jsp',b'',0,0,0,0,0,0,bad
GET,b'/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=personal_loans.htm',b'',0,0,0,0,3,0,bad
GET,b'/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=personal_cards.htm',b'',0,0,0,0,3,0,bad
GET,b'/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=personal_investments.htm',b'',0,0,0,0,3,0,bad
GET,b'/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=personal_other.htm',b'',0,0,0,0,3,0,bad
GET,b'/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=business.htm',b'',0,0,0,0,3,0,bad
GET,b'/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=business_deposit.htm',b'',0,0,0,0,3,0,bad
GET,b'/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=business_lending.htm',b'',0,0,0,0,3,0,bad
GET,b'/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=business_cards.htm',b'',0,0,0,0,3,0,bad
GET,b'/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=business_insurance.htm',b'',0,0,0,0,3,0,bad
GET,b'/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=business_retirement.htm',b'',0,0,0,0,3,0,bad
GET,b'/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=business_other.htm',b'',0,0,0,0,3,0,bad
GET,b'/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=inside.htm',b'',0,0,0,0,3,0,bad
GET,b'/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=inside_about.htm',b'',0,0,0,0,3,0,bad
GET,b'/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=inside_contact.htm',b'',0,0,0,0,3,0,bad
GET,b'/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=inside_investor.htm',b'',0,0,0,0,3,0,bad
GET,b'/my%20documents/JohnSmith/Bank%20Site%20Documents/cgi.exe',b'',0,0,0,0,3,0,bad
GET,b'/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=inside_press.htm',b'',0,0,0,0,3,0,bad
GET,b'/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=inside_careers.htm',b'',0,0,0,0,3,0,bad
GET,b'/my%20documents/JohnSmith/Bank%20Site%20Documents/subscribe.jsp',b'',0,0,0,0,3,0,bad
GET,b'/images/index.jsp?content=personal.htm',b'',0,0,0,0,0,0,bad
GET,b'/images/index.jsp?content=personal_deposit.htm',b'',0,0,0,0,0,0,bad
GET,b'/images/index.jsp?content=personal_checking.htm',b'',0,0,0,0,0,0,bad
GET,b'/images/index.jsp?content=personal_other.htm',b'',0,0,0,0,0,0,bad
GET,b'/images/index.jsp?content=business.htm',b'',0,0,0,0,0,0,bad
GET,b'/images/index.jsp?content=personal_investments.htm',b'',0,0,0,0,0,0,bad
GET,b'/images/index.jsp?content=personal_loans.htm',b'',0,0,0,0,0,0,bad
GET,b'/images/index.jsp?content=personal_cards.htm',b'',0,0,0,0,0,0,bad
GET,b'/images/index.jsp?content=business_deposit.htm',b'',0,0,0,0,0,0,bad
GET,b'/images/index.jsp?content=business_lending.htm',b'',0,0,0,0,0,0,bad
GET,b'/images/index.jsp?content=business_cards.htm',b'',0,0,0,0,0,0,bad
GET,b'/images/index.jsp?content=business_insurance.htm',b'',0,0,0,0,0,0,bad
GET,b'/images/index.jsp?content=business_retirement.htm',b'',0,0,0,0,0,0,bad
GET,b'/images/index.jsp?content=inside.htm',b'',0,0,0,0,0,0,bad
GET,b'/images/index.jsp?content=business_other.htm',b'',0,0,0,0,0,0,bad
GET,b'/images/index.jsp?content=inside_contact.htm',b'',0,0,0,0,0,0,bad
GET,b'/images/cgi.exe',b'',0,0,0,0,0,0,bad
GET,b'/images/index.jsp?content=inside_investor.htm',b'',0,0,0,0,0,0,bad
GET,b'/images/index.jsp?content=inside_press.htm',b'',0,0,0,0,0,0,bad
GET,b'/images/index.jsp?content=inside_careers.htm',b'',0,0,0,0,0,0,bad
GET,b'/index.jsp?content=inside_jobs.htm&job=Teller:ConsumaerBanking',b'',0,0,0,0,0,0,bad
GET,b'/images/subscribe.jsp',b'',0,0,0,0,0,0,bad
GET,b'/index.jsp?content=inside_jobs.htm&job=CustomerServiceRepresentative:CustomerService',b'',0,0,0,0,0,0,bad
GET,b'/index.jsp?content=inside_jobs.htm&job=LoyaltyMarketingProgramManager:Marketing',b'',0,0,0,0,0,0,bad
GET,b'/images/index.jsp?content=inside_about.htm',b'',0,0,0,0,0,0,bad
GET,b'/index.jsp?content=inside_jobs.htm&job=OperationalRiskManager:RiskManagement',b'',0,0,0,0,0,0,bad
GET,b'/index.jsp?content=inside_jobs.htm&job=ExecutiveAssistant:Administration',b'',0,0,0,0,0,0,bad
GET,b'/index.jsp?content=inside_jobs.htm&job=MortgageLendingAccountExecutive:Sales',b'',0,0,0,0,0,0,bad
GET,b'/Documents/JohnSmith/VoluteeringInformation.pdf',b'',0,0,0,0,0,0,bad
GET,b'/static/index.jsp?content=personal.htm',b'',0,0,0,0,0,0,bad
GET,b'/static/index.jsp?content=personal_deposit.htm',b'',0,0,0,0,0,0,bad
GET,b'/static/index.jsp?content=personal_checking.htm',b'',0,0,0,0,0,0,bad
GET,b'/static/index.jsp?content=personal_loans.htm',b'',0,0,0,0,0,0,bad
GET,b'/static/index.jsp?content=personal_investments.htm',b'',0,0,0,0,0,0,bad
GET,b'/static/index.jsp?content=personal_cards.htm',b'',0,0,0,0,0,0,bad
GET,b'/static/index.jsp?content=personal_other.htm',b'',0,0,0,0,0,0,bad
GET,b'/survey_questions.jsp?step=b',b'',0,0,0,0,0,0,bad
GET,b'/static/index.jsp?content=business_retirement.htm',b'',0,0,0,0,0,0,bad
GET,b'/static/index.jsp?content=business_cards.htm',b'',0,0,0,0,0,0,bad
GET,b'/static/index.jsp?content=business.htm',b'',0,0,0,0,0,0,bad
GET,b'/static/index.jsp?content=business_lending.htm',b'',0,0,0,0,0,0,bad
GET,b'/static/index.jsp?content=business_insurance.htm',b'',0,0,0,0,0,0,bad
GET,b'/static/index.jsp?content=business_deposit.htm',b'',0,0,0,0,0,0,bad
GET,b'/static/index.jsp?content=business_other.htm',b'',0,0,0,0,0,0,bad
GET,b'/static/index.jsp?content=inside.htm',b'',0,0,0,0,0,0,bad
GET,b'/static/index.jsp?content=inside_contact.htm',b'',0,0,0,0,0,0,bad
GET,b'/static/index.jsp?content=inside_about.htm',b'',0,0,0,0,0,0,bad
GET,b'/static/index.jsp?content=inside_press.htm',b'',0,0,0,0,0,0,bad
GET,b'/static/index.jsp?content=inside_investor.htm',b'',0,0,0,0,0,0,bad
GET,b'/static/cgi.exe',b'',0,0,0,0,0,0,bad
GET,b'/static/index.jsp?content=inside_careers.htm',b'',0,0,0,0,0,0,bad
GET,b'/static/subscribe.jsp',b'',0,0,0,0,0,0,bad
GET,b'/Documents/JohnSmith/index.jsp?content=personal.htm',b'',0,0,0,0,0,0,bad
GET,b'/Documents/JohnSmith/index.jsp?content=personal_deposit.htm',b'',0,0,0,0,0,0,bad
GET,b'/Documents/JohnSmith/index.jsp?content=personal_checking.htm',b'',0,0,0,0,0,0,bad
GET,b'/Documents/JohnSmith/index.jsp?content=personal_loans.htm',b'',0,0,0,0,0,0,bad
GET,b'/Documents/JohnSmith/index.jsp?content=personal_cards.htm',b'',0,0,0,0,0,0,bad
GET,b'/Documents/JohnSmith/index.jsp?content=personal_other.htm',b'',0,0,0,0,0,0,bad
GET,b'/Documents/JohnSmith/index.jsp?content=business_deposit.htm',b'',0,0,0,0,0,0,bad
GET,b'/Documents/JohnSmith/index.jsp?content=business.htm',b'',0,0,0,0,0,0,bad
GET,b'/Documents/JohnSmith/index.jsp?content=business_retirement.htm',b'',0,0,0,0,0,0,bad
GET,b'/Documents/JohnSmith/index.jsp?content=business_insurance.htm',b'',0,0,0,0,0,0,bad
GET,b'/Documents/JohnSmith/index.jsp?content=business_cards.htm',b'',0,0,0,0,0,0,bad
GET,b'/Documents/JohnSmith/index.jsp?content=business_other.htm',b'',0,0,0,0,0,0,bad
GET,b'/Documents/JohnSmith/index.jsp?content=inside.htm',b'',0,0,0,0,0,0,bad
GET,b'/Documents/JohnSmith/index.jsp?content=inside_about.htm',b'',0,0,0,0,0,0,bad
GET,b'/Documents/JohnSmith/index.jsp?content=business_lending.htm',b'',0,0,0,0,0,0,bad
GET,b'/Documents/JohnSmith/index.jsp?content=personal_investments.htm',b'',0,0,0,0,0,0,bad
GET,b'/Documents/JohnSmith/index.jsp?content=inside_contact.htm',b'',0,0,0,0,0,0,bad
GET,b'/Documents/JohnSmith/cgi.exe',b'',0,0,0,0,0,0,bad
GET,b'/Documents/JohnSmith/index.jsp?content=inside_investor.htm',b'',0,0,0,0,0,0,bad
GET,b'/Documents/JohnSmith/index.jsp?content=inside_press.htm',b'',0,0,0,0,0,0,bad
GET,b'/Documents/JohnSmith/index.jsp?content=inside_careers.htm',b'',0,0,0,0,0,0,bad
GET,b'/Documents/JohnSmith/subscribe.jsp',b'',0,0,0,0,0,0,bad
GET,b'/survey_questions.jsp?step=c',b'',0,0,0,0,0,0,bad
GET,b'/survey_questions.jsp?step=d',b'',0,0,0,0,0,0,bad
GET,b'/2584804430905147077.jsp',b'',0,0,0,0,0,0,bad
GET,b'/Documents/8274211287831306948.jsp',b'',0,0,0,0,0,0,bad
