method,path,body,single_q,double_q,dashes,braces,spaces,badwords_count,class
GET,b'/',b'',0,0,0,0,0,0,good
GET,b'/robots.txt',b'',0,0,0,0,0,0,good
GET,b'/style.css',b'',0,0,0,0,0,0,good
GET,b'/images/logo.gif',b'',0,0,0,0,0,0,good
GET,b'/images/header_pic.jpg',b'',0,0,0,0,0,0,good
GET,b'/images/pf_lock.gif',b'',0,0,0,0,0,0,good
GET,b'/index.jsp',b'',0,0,0,0,0,0,good
GET,b'/login.jsp',b'',0,0,0,0,0,0,good
GET,b'/index.jsp?content=inside_contact.htm',b'',0,0,0,0,0,0,good
GET,b'/feedback.jsp',b'',0,0,0,0,0,0,good
GET,b'/index.jsp?content=personal.htm',b'',0,0,0,0,0,0,good
GET,b'/index.jsp?content=business.htm',b'',0,0,0,0,0,0,good
GET,b'/index.jsp?content=inside.htm',b'',0,0,0,0,0,0,good
GET,b'/index.jsp?content=personal_deposit.htm',b'',0,0,0,0,0,0,good
GET,b'/index.jsp?content=personal_checking.htm',b'',0,0,0,0,0,0,good
GET,b'/index.jsp?content=personal_loans.htm',b'',0,0,0,0,0,0,good
GET,b'/index.jsp?content=personal_cards.htm',b'',0,0,0,0,0,0,good
GET,b'/index.jsp?content=personal_investments.htm',b'',0,0,0,0,0,0,good
GET,b'/index.jsp?content=personal_other.htm',b'',0,0,0,0,0,0,good
GET,b'/index.jsp?content=business_deposit.htm',b'',0,0,0,0,0,0,good
GET,b'/index.jsp?content=business_lending.htm',b'',0,0,0,0,0,0,good
GET,b'/index.jsp?content=business_insurance.htm',b'',0,0,0,0,0,0,good
GET,b'/index.jsp?content=business_retirement.htm',b'',0,0,0,0,0,0,good
GET,b'/index.jsp?content=inside_about.htm',b'',0,0,0,0,0,0,good
GET,b'/cgi.exe',b'',0,0,0,0,0,0,good
GET,b'/index.jsp?content=inside_investor.htm',b'',0,0,0,0,0,0,good
GET,b'/index.jsp?content=inside_press.htm',b'',0,0,0,0,0,0,good
GET,b'/index.jsp?content=inside_careers.htm',b'',0,0,0,0,0,0,good
GET,b'/subscribe.jsp',b'',0,0,0,0,0,0,good
GET,b'/index.jsp?content=personal_savings.htm',b'',0,0,0,0,0,0,good
GET,b'/index.jsp?content=privacy.htm',b'',0,0,0,0,0,0,good
GET,b'/default.jsp?content=security.htm',b'',0,0,0,0,0,0,good
GET,b'/survey_questions.jsp',b'',0,0,0,0,0,0,good
GET,b'/index.jsp?content=security.htm',b'',0,0,0,0,0,0,good
GET,b'/status_check.jsp',b'',0,0,0,0,0,0,good
GET,b'/swagger/index.html',b'',0,0,0,0,0,0,good
GET,b'/search.jsp?query=',b'',0,0,0,0,0,0,good
GET,b'/search.jsp?query=876143',b'',0,0,0,0,0,0,good
GET,b'/index.jsp?content=business_cards.htm',b'',0,0,0,0,0,0,good
GET,b'/index.jsp?content=business_other.htm',b'',0,0,0,0,0,0,good
GET,b'/index.jsp?content=privacy.htm',b'',0,0,0,0,0,0,good
GET,b'/login.jsp',b'',0,0,0,0,0,0,good
POST,b'/doLogin',b'uid=bULJkCDU&passw=c3R%21n0z%21S5&btnSubmit=Login',0,0,0,0,0,1,good
GET,b'/login.jsp',b'',0,0,0,0,0,0,good
GET,b'/index.jsp?content=inside_contact.htm',b'',0,0,0,0,0,0,good
GET,b'/disclaimer.htm?url=http%3a%2f%2fwww.netscape.com',b'',0,0,0,0,0,0,good
GET,b'/index.jsp?content=inside_contact.htm',b'',0,0,0,0,0,0,good
GET,b'/disclaimer.htm?url=http%3a%2f%2fwww.microsoft.com',b'',0,0,0,0,0,0,good
GET,b'/feedback.jsp',b'',0,0,0,0,0,0,good
POST,b'/sendFeedback',b'cfile=comments.txt&name=pogilOiF&email_addr=875703&subject=875703&comments=875703&submit=+Submit+',0,0,0,0,2,0,good
GET,b'/index.jsp?content=inside.htm',b'',0,0,0,0,0,0,good
GET,b'/index.jsp?content=inside_community.htm',b'',0,0,0,0,0,0,good
GET,b'/index.jsp?content=inside.htm',b'',0,0,0,0,0,0,good
GET,b'/pr/communityannualreport.pdf',b'',0,0,0,0,0,0,good
GET,b'/index.jsp?content=personal_deposit.htm',b'',0,0,0,0,0,0,good
GET,b'/index.jsp?content=inside_contact.htm',b'',0,0,0,0,0,0,good
GET,b'/index.jsp?content=business_deposit.htm',b'',0,0,0,0,0,0,good
GET,b'/high_yield_investments.htm',b'',0,0,0,0,0,0,good
GET,b'/index.jsp?content=business_insurance.htm',b'',0,0,0,0,0,0,good
GET,b'/my%20documents/JohnSmith/Bank%20Site%20Documents/grouplife.htm',b'',0,0,0,0,3,0,good
GET,b'/index.jsp?content=business_retirement.htm',b'',0,0,0,0,0,0,good
GET,b'/retirement.htm',b'',0,0,0,0,0,0,good
GET,b'/index.jsp?content=inside_about.htm',b'',0,0,0,0,0,0,good
GET,b'/index.jsp?content=inside_executives.htm',b'',0,0,0,0,0,0,good
GET,b'/index.jsp?content=inside_about.htm',b'',0,0,0,0,0,0,good
GET,b'/index.jsp?content=inside_community.htm',b'',0,0,0,0,0,0,good
GET,b'/index.jsp?content=inside_about.htm',b'',0,0,0,0,0,0,good
GET,b'/inside_points_of_interest.htm',b'',0,0,0,0,0,0,good
GET,b'/index.jsp?content=inside_press.htm',b'',0,0,0,0,0,0,good
GET,b'/index.jsp?content=pr%2f20061109.htm',b'',0,0,0,0,0,0,good
GET,b'/index.jsp?content=inside_press.htm',b'',0,0,0,0,0,0,good
GET,b'/index.jsp?content=pr%2f20061005.htm',b'',0,0,0,0,0,0,good
GET,b'/index.jsp?content=inside_press.htm',b'',0,0,0,0,0,0,good
